idVotacao;uriVotacao;dataHoraVoto;voto;deputado_id;deputado_uri;deputado_nome;deputado_siglaPartido;deputado_uriPartido;deputado_siglaUf;deputado_idLegislatura;deputado_urlFoto
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:06;Sim;98615;https://dadosabertos.camara.leg.br/api/v2/deputados/98615;Ismael;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;SC;57;https://www.camara.leg.br/internet/deputado/bandep/98615.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:30:56;Sim;220570;https://dadosabertos.camara.leg.br/api/v2/deputados/220570;Ismael Alexandrino;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;GO;57;https://www.camara.leg.br/internet/deputado/bandep/220570.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:49;Sim;204436;https://dadosabertos.camara.leg.br/api/v2/deputados/204436;Isnaldo Bulhões Jr.;MDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36899;AL;57;https://www.camara.leg.br/internet/deputado/bandep/204436.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:59;Sim;73531;https://dadosabertos.camara.leg.br/api/v2/deputados/73531;Ivan Valente;PSOL;https://dadosabertos.camara.leg.br/api/v2/partidos/36839;SP;57;https://www.camara.leg.br/internet/deputado/bandep/73531.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:07;Sim;220696;https://dadosabertos.camara.leg.br/api/v2/deputados/220696;Ivoneide Caetano;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;BA;57;https://www.camara.leg.br/internet/deputado/bandep/220696.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:04;Sim;220670;https://dadosabertos.camara.leg.br/api/v2/deputados/220670;Iza Arruda;MDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36899;PE;57;https://www.camara.leg.br/internet/deputado/bandep/220670.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:30;Sim;220527;https://dadosabertos.camara.leg.br/api/v2/deputados/220527;Jack Rocha;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;ES;57;https://www.camara.leg.br/internet/deputado/bandep/220527.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:28;Sim;220697;https://dadosabertos.camara.leg.br/api/v2/deputados/220697;Jadyel Alencar;PV;https://dadosabertos.camara.leg.br/api/v2/partidos/36851;PI;57;https://www.camara.leg.br/internet/deputado/bandep/220697.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:04;Sim;74848;https://dadosabertos.camara.leg.br/api/v2/deputados/74848;Jandira Feghali;PCdoB;https://dadosabertos.camara.leg.br/api/v2/partidos/36779;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/74848.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:02;Sim;74273;https://dadosabertos.camara.leg.br/api/v2/deputados/74273;Jefferson Campos;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;SP;57;https://www.camara.leg.br/internet/deputado/bandep/74273.jpg
